,course_name,course_link,university_name,course_type,university_logo,time_required,course_language,course_subtitles,course_skills,course_rating,category,sub_category,course_level
3980,Six Sigma Advanced Define and Measure Phases,https://www.coursera.org/learn/six-sigma-define-measure-advanced,University System of Georgia,COURSE,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-university-assets.s3.amazonaws.com/74/2e3bed61bdd472ff2de4270331f6c0/georgia.png?auto=format%2Ccompress&dpr=2&w=120&h=120&blur=200&px=8,Approx. 15 hours to complete,English,"Subtitles: English, Romanian",[],not-mentioned,Business,Leadership and Management,Intermediate Level
3981,Six Sigma Advanced Improve and Control Phases,https://www.coursera.org/learn/six-sigma-improve-control-advanced,University System of Georgia,COURSE,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-university-assets.s3.amazonaws.com/74/2e3bed61bdd472ff2de4270331f6c0/georgia.png?auto=format%2Ccompress&dpr=2&w=120&h=120&blur=200&px=8,Approx. 10 hours to complete,English,"Subtitles: English, Romanian",[],4.8stars,Business,Leadership and Management,Intermediate Level
3982,Six Sigma Principles ,https://www.coursera.org/learn/six-sigma-principles,University System of Georgia,COURSE,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-university-assets.s3.amazonaws.com/74/2e3bed61bdd472ff2de4270331f6c0/georgia.png?auto=format%2Ccompress&dpr=2&w=120&h=120&blur=200&px=8,Approx. 13 hours to complete,English,"Subtitles: English, Romanian, Arabic","['Lean Six Sigma', 'Process Improvement', 'Six Sigma', 'Lean Methods']",not-mentioned,Business,Business Essentials,Beginner Level
3983,Six Sigma Tools for Analyze,https://www.coursera.org/learn/six-sigma-analyze,University System of Georgia,COURSE,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-university-assets.s3.amazonaws.com/74/2e3bed61bdd472ff2de4270331f6c0/georgia.png?auto=format%2Ccompress&dpr=2&w=120&h=120&blur=200&px=8,Approx. 8 hours to complete,English,Subtitles: English,"['Statistics', 'Binomial Distribution', 'Data Analysis', 'Causality']",4.7stars,Business,Business Essentials,Beginner Level
3984,Six Sigma Tools for Define and Measure,https://www.coursera.org/learn/six-sigma-tools-define-measure,University System of Georgia,COURSE,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-university-assets.s3.amazonaws.com/74/2e3bed61bdd472ff2de4270331f6c0/georgia.png?auto=format%2Ccompress&dpr=2&w=120&h=120&blur=200&px=8,Approx. 8 hours to complete,English,"Subtitles: French, Portuguese (Brazilian), Russian, English, Spanish, Romanian",[],4.6stars,Business,Business Essentials,Beginner Level
3985,Six Sigma Tools for Improve and Control,https://www.coursera.org/learn/six-sigma-improve-control,University System of Georgia,COURSE,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-university-assets.s3.amazonaws.com/74/2e3bed61bdd472ff2de4270331f6c0/georgia.png?auto=format%2Ccompress&dpr=2&w=120&h=120&blur=200&px=8,Approx. 9 hours to complete,English,Subtitles: English,[],not-mentioned,Business,Business Essentials,Beginner Level
3986,Six Sigma and the Organization (Advanced),https://www.coursera.org/learn/six-sigma-organization-advanced,University System of Georgia,COURSE,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-university-assets.s3.amazonaws.com/74/2e3bed61bdd472ff2de4270331f6c0/georgia.png?auto=format%2Ccompress&dpr=2&w=120&h=120&blur=200&px=8,Approx. 16 hours to complete,English,"Subtitles: French, Portuguese (Brazilian), Russian, English, Spanish, Romanian","['Lean Six Sigma', 'Process Improvement', 'Process Capability', 'Six Sigma']",4.7stars,Business,Leadership and Management,Intermediate Level
3987,Skepticism,https://www.coursera.org/learn/skepticism,"University of California, Irvine",COURSE,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-university-assets.s3.amazonaws.com/39/31c7a00bb411e4b2adb7c560fb2da9/UCI_MB_PI_WM_300x300_YellowonBlue.png?auto=format%2Ccompress&dpr=2&w=120&h=120&blur=200&px=8,Approx. 15 hours to complete,English,Subtitles: English,[],not-mentioned,Arts and Humanities,Philosophy,Beginner Level
3988,Skills for Nursing Informatics Leaders,https://www.coursera.org/learn/skills-for-nursing-informatics-leaders,University of Minnesota,COURSE,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-university-assets.s3.amazonaws.com/75/a144950f75d01464eef8e64003285c/FB-GoldM-maroon.png?auto=format%2Ccompress&dpr=2&w=120&h=120&blur=200&px=8,Approx. 18 hours to complete,English,Subtitles: English,"['Leadership', 'Nursing Informatics', 'Nursing', 'exercise']",not-mentioned,Health,Health Informatics,Beginner Level
3989,"Sleep: Neurobiology, Medicine, and Society",https://www.coursera.org/learn/sleep,University of Michigan,COURSE,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-university-assets.s3.amazonaws.com/70/de505d47be7d3a063b51b6f856a6e2/New-Block-M-Stacked-Blue-295C_600x600.png?auto=format%2Ccompress&dpr=2&w=120&h=120&blur=200&px=8,Approx. 21 hours to complete,English,Subtitles: English,[],4.8stars,Health,Basic Science,Beginner Level
